TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Vehicle Collision or Pedestrian Struck (with Fatality),2005,11,30,2,41,10XX BLOCK EXPO BLVD,Central Business District,491543,5458003
Vehicle Collision or Pedestrian Struck (with Fatality),2005,11,11,1,10,10XX W HASTINGS ST,Central Business District,491461,5459401
Vehicle Collision or Pedestrian Struck (with Fatality),2009,2,9,15,31,11XX BLOCK DAVIE ST,West End,490431,5458660
Vehicle Collision or Pedestrian Struck (with Fatality),2006,10,22,22,26,11XX BLOCK E 60TH AVE,Sunset,493983,5451421
Vehicle Collision or Pedestrian Struck (with Fatality),2018,12,27,5,1,11XX BLOCK KINGSWAY AVE,Kensington-Cedar Cottage,494071,5455562
Vehicle Collision or Pedestrian Struck (with Fatality),2015,8,19,22,27,11XX BLOCK SE MARINE DR,Sunset,493894,5450924
Vehicle Collision or Pedestrian Struck (with Fatality),2012,9,18,11,10,11XX HORNBY ST,Central Business District,490774,5458511
Vehicle Collision or Pedestrian Struck (with Fatality),2010,11,3,10,37,11XX STATION ST,Strathcona,492831,5457946
Vehicle Collision or Pedestrian Struck (with Fatality),2013,7,29,14,39,11XX W 12TH AVE,Fairview,490578,5456436
Vehicle Collision or Pedestrian Struck (with Fatality),2005,4,29,13,11,12XX BLOCK HOWE ST,Central Business District,490729,5458327
Vehicle Collision or Pedestrian Struck (with Fatality),2004,7,23,22,29,12XX BLOCK MAIN ST,Strathcona,492759,5457908
Vehicle Collision or Pedestrian Struck (with Fatality),2017,12,20,9,11,12XX BLOCK PENDRELL ST,West End,490356,5458889
Vehicle Collision or Pedestrian Struck (with Fatality),2014,10,17,9,44,12XX BLOCK RENFREW ST,Hastings-Sunrise,496790,5457956
Vehicle Collision or Pedestrian Struck (with Fatality),2016,8,29,19,15,12XX BLOCK SEYMOUR ST,Central Business District,490875,5458182
Vehicle Collision or Pedestrian Struck (with Fatality),2005,2,16,15,0,13XX BLOCK FRANKLIN ST,Grandview-Woodland,494502,5458810
