TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2022,6,5,10,0,13XX DISCOVERY ST,West Point Grey,485246.8717,5458027.4871
Break and Enter Commercial,2004,6,30,0,1,13XX DISCOVERY ST,West Point Grey,485255.43,5458013.3709
Break and Enter Commercial,2009,5,9,15,30,13XX DISCOVERY ST,West Point Grey,485255.43,5458013.3709
Break and Enter Commercial,2009,8,22,20,30,13XX DISCOVERY ST,West Point Grey,485255.43,5458013.3709
Break and Enter Commercial,2009,11,1,12,0,13XX DISCOVERY ST,West Point Grey,485255.43,5458013.3709
Break and Enter Commercial,2011,3,31,12,0,13XX DISCOVERY ST,West Point Grey,485255.43,5458013.3709
Break and Enter Commercial,2011,10,30,11,36,13XX DISCOVERY ST,West Point Grey,485255.43,5458013.3709
Break and Enter Commercial,2012,10,6,14,49,13XX DISCOVERY ST,West Point Grey,485255.43,5458013.3709
Break and Enter Commercial,2014,10,1,16,30,13XX DISCOVERY ST,West Point Grey,485255.43,5458013.3709
Break and Enter Commercial,2016,3,1,12,49,13XX DISCOVERY ST,West Point Grey,485255.43,5458013.3709
Break and Enter Commercial,2006,5,21,18,0,15XX ALMA ST,West Point Grey,486496.6284,5457758.6457
Break and Enter Commercial,2004,8,18,23,59,15XX DISCOVERY ST,West Point Grey,485257.0477,5457878.2663
Break and Enter Commercial,2015,6,28,20,0,17XX WALLACE ST,West Point Grey,486211.2024,5457602.0645
Break and Enter Commercial,2018,8,8,17,0,19XX HIGHBURY ST,West Point Grey,486346.3692,5457356.1155
Break and Enter Commercial,2015,8,19,0,17,19XX HIGHBURY ST,West Point Grey,486346.4424,5457358.3988
Break and Enter Commercial,2015,12,18,12,38,19XX HIGHBURY ST,West Point Grey,486346.4424,5457358.3988
Break and Enter Commercial,2008,5,17,10,22,20XX ALMA ST,West Point Grey,486484.4111,5457255.4503
Break and Enter Commercial,2017,2,27,20,0,20XX ALMA ST,West Point Grey,486484.4111,5457255.4503
Break and Enter Commercial,2018,5,18,18,30,20XX ALMA ST,West Point Grey,486484.4111,5457255.4503
Break and Enter Commercial,2003,1,17,18,0,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Break and Enter Commercial,2003,1,31,5,31,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Break and Enter Commercial,2003,5,8,0,8,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Break and Enter Commercial,2003,6,24,0,25,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Break and Enter Commercial,2004,6,17,1,57,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Break and Enter Commercial,2004,10,8,2,0,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Break and Enter Commercial,2005,2,21,4,25,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Break and Enter Commercial,2005,12,3,6,30,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Break and Enter Commercial,2006,1,6,17,20,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Break and Enter Commercial,2006,1,6,20,30,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Break and Enter Commercial,2006,1,7,6,4,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Break and Enter Commercial,2010,6,27,5,29,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Break and Enter Commercial,2010,12,29,18,5,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Break and Enter Commercial,2013,3,14,0,1,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Break and Enter Commercial,2014,3,11,1,55,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Break and Enter Commercial,2014,11,24,20,30,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Break and Enter Commercial,2015,6,13,22,30,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Break and Enter Commercial,2015,7,16,4,51,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Break and Enter Commercial,2020,9,10,3,11,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Break and Enter Commercial,2021,10,24,12,21,20XX ALMA ST,West Point Grey,486484.4547,5457256.7299
Break and Enter Commercial,2005,4,20,0,0,20XX HIGHBURY ST,West Point Grey,486353.9537,5457303.9597
Break and Enter Commercial,2009,12,29,16,30,20XX HIGHBURY ST,West Point Grey,486353.9537,5457303.9597
Break and Enter Commercial,2011,4,22,14,30,20XX TRIMBLE ST,West Point Grey,485025.4601,5457365.1269
Break and Enter Commercial,2018,5,29,23,0,20XX TRIMBLE ST,West Point Grey,485025.4601,5457365.1269
Break and Enter Commercial,2008,11,30,11,59,20XX TRIMBLE ST,West Point Grey,485025.5206,5457368.3387
Break and Enter Commercial,2015,11,13,23,30,21XX ALMA ST,West Point Grey,486481.3839,5457154.2343
Break and Enter Commercial,2015,12,27,12,35,21XX ALMA ST,West Point Grey,486481.6291,5457162.6576
Break and Enter Commercial,2015,12,27,18,15,21XX ALMA ST,West Point Grey,486481.6291,5457162.6576
Break and Enter Commercial,2016,1,18,18,0,21XX ALMA ST,West Point Grey,486483.1983,5457216.5669
Break and Enter Commercial,2016,2,16,1,47,21XX ALMA ST,West Point Grey,486483.1983,5457216.5669
Break and Enter Commercial,2019,4,8,8,33,21XX ALMA ST,West Point Grey,486483.1983,5457216.5669
Break and Enter Commercial,2010,3,17,14,0,22XX HIGHBURY ST,West Point Grey,486351.2044,5457145.1991
Break and Enter Commercial,2004,8,4,7,0,24XX CROWN ST,West Point Grey,485831.3575,5456865.6051
Break and Enter Commercial,2018,9,25,14,8,25XX ALMA ST,West Point Grey,486471.263,5456826.1357
Break and Enter Commercial,2003,9,28,5,15,25XX ALMA ST,West Point Grey,486471.7228,5456853.3482
Break and Enter Commercial,2017,10,23,17,0,25XX COURTENAY ST,West Point Grey,485410.077,5456831.6682
Break and Enter Commercial,2018,11,9,18,0,25XX COURTENAY ST,West Point Grey,485410.077,5456831.6682
Break and Enter Commercial,2020,10,19,3,31,25XX DISCOVERY ST,West Point Grey,485225.9833,5456838.0394
Break and Enter Commercial,2022,3,30,4,0,25XX DISCOVERY ST,West Point Grey,485225.9833,5456838.0394
Break and Enter Commercial,2016,1,15,14,0,25XX DISCOVERY ST,West Point Grey,485226.0105,5456839.5176
Break and Enter Commercial,2016,7,17,10,32,25XX DISCOVERY ST,West Point Grey,485226.0105,5456839.5176
Break and Enter Commercial,2014,7,29,18,0,25XX HIGHBURY ST,West Point Grey,486341.0235,5456809.7557
Break and Enter Commercial,2022,4,6,0,0,25XX SASAMAT ST,West Point Grey,484781.5558,5456829.252
Break and Enter Commercial,2004,1,26,21,0,25XX SASAMAT ST,West Point Grey,484781.6366,5456831.5723
Break and Enter Commercial,2009,6,13,0,40,25XX TOLMIE ST,West Point Grey,484562.5588,5456838.9332
Break and Enter Commercial,2014,10,9,7,5,25XX TOLMIE ST,West Point Grey,484562.5588,5456838.9332
Break and Enter Commercial,2010,1,29,14,33,25XX TOLMIE ST,West Point Grey,484571.5142,5456831.2417
Break and Enter Commercial,2009,2,10,23,0,25XX TOLMIE ST,West Point Grey,484571.5675,5456833.3334
Break and Enter Commercial,2009,8,22,2,2,25XX TOLMIE ST,West Point Grey,484571.5675,5456833.3334
Break and Enter Commercial,2010,1,31,9,34,25XX TOLMIE ST,West Point Grey,484571.5675,5456833.3334
Break and Enter Commercial,2014,10,9,11,5,25XX TOLMIE ST,West Point Grey,484571.5675,5456833.3334
Break and Enter Commercial,2005,3,8,19,30,25XX TOLMIE ST,West Point Grey,484571.7884,5456842.2906
Break and Enter Commercial,2005,11,14,20,30,26XX ALMA ST,West Point Grey,486469.76,5456738.8793
Break and Enter Commercial,2019,7,28,18,28,26XX ALMA ST,West Point Grey,486469.76,5456738.8793
Break and Enter Commercial,2007,5,2,23,59,26XX SASAMAT ST,West Point Grey,484789.2801,5456773.8394
Break and Enter Commercial,2011,3,19,22,0,26XX SASAMAT ST,West Point Grey,484789.2801,5456773.8394
Break and Enter Commercial,2014,8,9,11,36,26XX SASAMAT ST,West Point Grey,484789.2801,5456773.8394
Break and Enter Commercial,2014,8,9,11,30,26XX SASAMAT ST,West Point Grey,484789.4608,5456783.1388
Break and Enter Commercial,2004,9,8,17,0,26XX TOLMIE ST,West Point Grey,484561.4316,5456785.1952
Break and Enter Commercial,2008,12,5,22,0,26XX TOLMIE ST,West Point Grey,484570.8329,5456799.8873
Break and Enter Commercial,2015,8,6,19,30,27XX HIGHBURY ST,West Point Grey,486336.7524,5456577.688
Break and Enter Commercial,2006,4,12,17,20,28XX BLANCA ST,West Point Grey,484340.4848,5456609.0309
Break and Enter Commercial,2013,9,3,0,10,28XX SASAMAT ST,West Point Grey,484784.7231,5456598.4946
Break and Enter Commercial,2005,3,3,1,0,31XX CAMOSUN ST,West Point Grey,485650.1024,5456191.5386
Break and Enter Commercial,2018,9,17,12,0,37XX POINT GREY RD,West Point Grey,486429.2082,5457738.0186
Break and Enter Commercial,2019,6,9,0,0,37XX W 10TH AVE,West Point Grey,486352.7415,5456763.8336
Break and Enter Commercial,2020,11,21,12,0,37XX W 10TH AVE,West Point Grey,486352.7415,5456763.8336
Break and Enter Commercial,2022,1,8,14,28,37XX W 10TH AVE,West Point Grey,486352.7415,5456763.8336
Break and Enter Commercial,2009,7,21,17,0,37XX W 10TH AVE,West Point Grey,486354.9604,5456763.7363
Break and Enter Commercial,2006,10,16,0,45,37XX W 10TH AVE,West Point Grey,486360.4804,5456772.6474
Break and Enter Commercial,2011,6,18,19,25,37XX W 10TH AVE,West Point Grey,486360.4804,5456772.6474
Break and Enter Commercial,2011,12,8,20,30,37XX W 10TH AVE,West Point Grey,486360.4804,5456772.6474
Break and Enter Commercial,2014,7,19,5,10,37XX W 10TH AVE,West Point Grey,486360.4804,5456772.6474
Break and Enter Commercial,2004,6,18,18,0,37XX W 10TH AVE,West Point Grey,486368.1605,5456772.3111
Break and Enter Commercial,2005,11,25,4,17,37XX W 10TH AVE,West Point Grey,486378.0005,5456762.7275
Break and Enter Commercial,2004,6,22,19,0,37XX W 10TH AVE,West Point Grey,486378.4006,5456771.8627
Break and Enter Commercial,2004,7,13,1,15,37XX W 10TH AVE,West Point Grey,486378.4006,5456771.8627
Break and Enter Commercial,2006,2,4,6,31,37XX W 10TH AVE,West Point Grey,486378.4006,5456771.8627
Break and Enter Commercial,2009,7,25,0,39,37XX W 10TH AVE,West Point Grey,486388.6406,5456771.4143
Break and Enter Commercial,2003,10,27,13,22,37XX W 10TH AVE,West Point Grey,486390.8006,5456762.167
Break and Enter Commercial,2004,4,16,20,0,37XX W 10TH AVE,West Point Grey,486390.8006,5456762.167
Break and Enter Commercial,2007,9,26,0,56,37XX W 10TH AVE,West Point Grey,486390.8006,5456762.167
Break and Enter Commercial,2018,2,2,14,4,37XX W 10TH AVE,West Point Grey,486401.2701,5456770.8614
Break and Enter Commercial,2021,2,13,18,0,37XX W 10TH AVE,West Point Grey,486401.2701,5456770.8614
Break and Enter Commercial,2004,7,20,22,0,37XX W 10TH AVE,West Point Grey,486401.4407,5456770.8539
Break and Enter Commercial,2003,11,30,21,0,37XX W 10TH AVE,West Point Grey,486404.0007,5456770.7418
Break and Enter Commercial,2016,11,3,4,10,37XX W 10TH AVE,West Point Grey,486409.1208,5456770.5176
Break and Enter Commercial,2020,10,4,23,50,37XX W 10TH AVE,West Point Grey,486411.2808,5456761.2702
Break and Enter Commercial,2016,10,20,2,26,37XX W 10TH AVE,West Point Grey,486411.5653,5456761.2578
Break and Enter Commercial,2020,3,17,9,22,37XX W 10TH AVE,West Point Grey,486414.2391,5456761.1407
Break and Enter Commercial,2006,10,16,18,30,37XX W 10TH AVE,West Point Grey,486419.3608,5456770.0692
Break and Enter Commercial,2004,7,31,8,30,37XX W 10TH AVE,West Point Grey,486421.9208,5456769.9571
Break and Enter Commercial,2009,1,1,0,0,37XX W 10TH AVE,West Point Grey,486421.9208,5456769.9571
Break and Enter Commercial,2004,8,21,0,42,37XX W 10TH AVE,West Point Grey,486434.7209,5456769.3966
Break and Enter Commercial,2009,2,14,23,45,37XX W 10TH AVE,West Point Grey,486434.7209,5456769.3966
Break and Enter Commercial,2012,9,10,4,20,37XX W 10TH AVE,West Point Grey,486434.7209,5456769.3966
Break and Enter Commercial,2021,1,22,2,33,37XX W 10TH AVE,West Point Grey,486434.7209,5456769.3966
Break and Enter Commercial,2012,12,14,5,10,37XX W 10TH AVE,West Point Grey,486442.401,5456769.0603
Break and Enter Commercial,2006,1,23,5,38,37XX W 10TH AVE,West Point Grey,486452.241,5456759.4766
Break and Enter Commercial,2003,2,5,17,30,37XX W 10TH AVE,West Point Grey,486460.3211,5456768.2756
Break and Enter Commercial,2009,7,21,17,30,37XX W 10TH AVE,West Point Grey,486465.0411,5456758.9162
Break and Enter Commercial,2009,7,27,4,34,37XX W 10TH AVE,West Point Grey,486465.0411,5456758.9162
Break and Enter Commercial,2013,12,5,17,59,37XX W 16TH AVE,West Point Grey,486395.9984,5456161.4063
Break and Enter Commercial,2009,10,18,20,0,37XX W 4TH AVE,West Point Grey,486373.0383,5457340.1846
Break and Enter Commercial,2005,4,6,22,0,37XX W 4TH AVE,West Point Grey,486427.3305,5457329.7807
Break and Enter Commercial,2007,9,26,0,0,37XX W 6TH AVE,West Point Grey,486402.0666,5457144.0271
Break and Enter Commercial,2009,1,23,8,53,37XX W 6TH AVE,West Point Grey,486402.0666,5457144.0271
Break and Enter Commercial,2014,9,11,19,16,37XX W 6TH AVE,West Point Grey,486402.0666,5457144.0271
Break and Enter Commercial,2010,2,19,11,24,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Commercial,2013,6,20,17,30,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Commercial,2014,1,4,5,30,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Commercial,2015,1,12,17,0,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Commercial,2020,1,1,17,0,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Commercial,2020,5,16,2,0,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Commercial,2021,12,4,5,0,37XX W 6TH AVE,West Point Grey,486409.9922,5457152.9425
Break and Enter Commercial,2014,10,2,0,0,37XX W 6TH AVE,West Point Grey,486440.6215,5457152.0436
Break and Enter Commercial,2014,10,28,8,0,37XX W 6TH AVE,West Point Grey,486440.6215,5457152.0436
Break and Enter Commercial,2007,11,20,17,0,37XX W 7TH AVE,West Point Grey,486389.5028,5457056.1197
Break and Enter Commercial,2015,10,9,0,0,37XX W 7TH AVE,West Point Grey,486391.9608,5457046.9512
Break and Enter Commercial,2003,9,18,1,32,37XX W 7TH AVE,West Point Grey,486468.4682,5457055.3486
Break and Enter Commercial,2011,9,8,2,14,37XX W 7TH AVE,West Point Grey,486468.4682,5457055.3486
Break and Enter Commercial,2014,7,28,4,45,37XX W 7TH AVE,West Point Grey,486468.4682,5457055.3486
Break and Enter Commercial,2017,4,12,1,0,37XX W 7TH AVE,West Point Grey,486468.4682,5457055.3486
Break and Enter Commercial,2017,8,9,3,45,37XX W 7TH AVE,West Point Grey,486468.4682,5457055.3486
Break and Enter Commercial,2020,1,2,4,45,37XX W 7TH AVE,West Point Grey,486468.4682,5457055.3486
Break and Enter Commercial,2020,7,1,11,57,37XX W 7TH AVE,West Point Grey,486468.4682,5457055.3486
Break and Enter Commercial,2020,12,5,4,14,37XX W 7TH AVE,West Point Grey,486468.4682,5457055.3486
Break and Enter Commercial,2016,6,12,18,26,37XX W 8TH AVE,West Point Grey,486359.1727,5456956.6256
Break and Enter Commercial,2020,11,28,8,9,37XX W 8TH AVE,West Point Grey,486359.1727,5456956.6256
Break and Enter Commercial,2008,12,21,1,34,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Break and Enter Commercial,2011,8,29,21,0,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Break and Enter Commercial,2021,2,14,0,0,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Break and Enter Commercial,2017,5,26,0,0,37XX W 8TH AVE,West Point Grey,486388.4088,5456956.171
Break and Enter Commercial,2007,1,13,20,0,37XX W 8TH AVE,West Point Grey,486447.8995,5456955.246
Break and Enter Commercial,2018,12,31,13,0,37XX W 8TH AVE,West Point Grey,486449.539,5456955.2204
Break and Enter Commercial,2004,2,29,8,55,37XX W BROADWAY AVE,West Point Grey,486428.7488,5456857.5251
Break and Enter Commercial,2004,8,11,6,16,37XX W BROADWAY AVE,West Point Grey,486431.2947,5456857.5113
Break and Enter Commercial,2003,1,18,4,30,37XX W BROADWAY AVE,West Point Grey,486441.4784,5456857.4559
Break and Enter Commercial,2003,1,29,4,45,37XX W BROADWAY AVE,West Point Grey,486446.5702,5456857.4282
Break and Enter Commercial,2004,3,5,2,57,37XX W BROADWAY AVE,West Point Grey,486446.5702,5456857.4282
Break and Enter Commercial,2010,6,11,15,0,37XX W BROADWAY AVE,West Point Grey,486446.5702,5456857.4282
Break and Enter Commercial,2013,12,16,0,0,37XX W BROADWAY AVE,West Point Grey,486446.5702,5456857.4282
Break and Enter Commercial,2007,1,19,3,53,37XX W BROADWAY AVE,West Point Grey,486469.4835,5456857.3036
Break and Enter Commercial,2003,9,10,21,0,37XX W BROADWAY AVE,West Point Grey,486469.5332,5456866.4475
Break and Enter Commercial,2009,11,29,6,35,37XX W BROADWAY AVE,West Point Grey,486469.5332,5456866.4475
